StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q54,pos1,pos2,pos3,pos4,pos5,inc1,inc2,inc3,inc4,neut1,neut2,neut3,neut4,neut5,Data Sharing Fundame,datashare_opinion,datashare_behavior,datashare_b_percent_1,datashare_b_first_1,datashare_b_whynot,datashare_b_whynot_17_TEXT,datashare_b_others_1,datasure_o_others_1,datasure_o_others_2,datasure_o_others_3,datasure_o_others_4,datasure_o_others_5,Preregistration Fund,prereg_opinion,prereg_behavior,prereg_b_percent_1,prereg_p_first_1,prereg_b_whynot,prereg_b_whynot_14_TEXT,prereg_b_hesitate,prereg_b_hesitate_14_TEXT,prereg_b_future,prereg_b_future_14_TEXT,prereg_b_others_1,prereg_o_others_1,prereg_o_others_2,prereg_o_others_3,prereg_o_others_4,prereg_o_others_5,Q4,OA_opinion,OA_behavior,OA_b_percent_1,OA_b_when_1,OA_b_whynot,OA_b_whynot_12_TEXT,OA_b_hesitate,OA_b_hesitate_12_TEXT,OA_b_future,OA_b_future_12_TEXT,OA_b_others_1,OA_o_others_1,OA_o_others_2,OA_o_others_3,OA_o_others_4,OA_o_others_5,Q14,replication_opinion,replication_behavior,replication_b_percen_1,replication_b_when_1,replication_b_whynot,replication_b_whynot_13_TEXT,rep_b_hesitate,rep_b_hesitate_13_TEXT,rep_b_future,rep_b_future_13_TEXT,rep_b_others_1,rep_o_others_1,rep_o_others_2,rep_o_others_3,rep_o_others_4,rep_o_others_5,years,gender,gender_3_TEXT,identifyResearch,identifyScience,discipline,qualquant,method,qualquantField_1,qualquantField_2,comments
12/10/25 9:35,12/10/25 9:41,IP Address,*******,100,331,TRUE,12/10/25 9:41,R_7S3vI2pI9t3uQ37,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,In favor,No,,,"The data were proprietary or access was restricted,The data were too difficult to anonymize (human subjects)",,40,20,60,10,10,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,50,65,35,0,0,0,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,20,90,10,0,0,0,,In favor,No,,,"Given the nature of the research, it was not possible,It didn’t seem relevant for my work",,,,,,20,30,30,30,10,0,15,Woman,,A great deal,A great deal,criminology,Quantitative,,25,75,
12/10/25 9:34,12/10/25 9:41,IP Address,*******,100,420,TRUE,12/10/25 9:41,R_7YffmZLTtaDd9pz,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,100,2023,,,50,25,50,10,10,5,,Neither in favor nor against,No,,,Other:,Not applicable to my field,,,,,,0,0,100,0,0,,Very much in favor,No,,,Other:,Too expensive,,,,,90,90,10,0,0,0,,In favor,No,,,"Given the nature of the research, it was not possible",,,,,,20,0,15,75,10,0,8,Man,,A moderate amount,A moderate amount,Anthropology,Quantitative,Lithic analysis,50,50,
12/10/25 9:36,12/10/25 9:41,IP Address,*******,100,318,TRUE,12/10/25 9:41,R_2aDNhq6hQlawseZ,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,In favor,Yes,51,2023,,,40,20,40,20,11,9,,Very much in favor,Yes,61,2023,,,"It was too time consuming,It was too difficult,I was nervous that someone would discover a mistake,I was unfamiliar with the practice,I was worried it would reduce publishability of my findings",,,,50,40,21,20,10,9,,Very much in favor,Yes,63,2023,,,Other:,Whether or not university/journal covers fees,,,49,100,0,0,0,0,,In favor,Yes,34,2020,,,"I won’t be rewarded for it,I almost couldn’t access the necessary data, materials, or code",,,,40,51,25,12,6,6,7,Woman,,A great deal,A lot,Political Science,Quantitative,"Survey experiments, big data, interviews",41,59,
12/10/25 9:31,12/10/25 9:42,IP Address,*******,100,644,TRUE,12/10/25 9:42,R_6bwTcm5hDBEV9tf,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,In favor,I do not have a scholarly work that used data,,,,,51,19,81,0,0,0,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,It is too time consuming,,,65,35,0,0,0,,Very much in favor,Yes,1,2025,,,It was too time consuming,,,,51,80,20,0,0,0,,Very much in favor,No,,,It was too time consuming,,,,,,,100,0,0,0,0,5,Woman,,A little,Not at all,journalism,Qualitative,"historical, thematic content analysis",100,0,
12/10/25 9:34,12/10/25 9:42,IP Address,*******,100,506,TRUE,12/10/25 9:42,R_18AR7rsSZtRLGOR,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,In favor,Yes,80,2024,,,70,19,81,0,0,0,,In favor,Yes,51,2023,,,"It was too time consuming,I was unfamiliar with the practice,Other:",It seemed to impose barriers on the flexibility needed to follow unexpected shifts in a project and seemed like a barrier to starting my research project without having thought through it in its completion,,,50,40,30,15,10,5,,In favor,No,,,"I was unfamiliar with the practice,I didn’t have sufficient resources available",,,,,,,50,20,10,10,10,,In favor,No,,,,,,,,,19,35,20,15,15,15,5,Man,,A moderate amount,A moderate amount,Political Science,Quantitative,"statistical analysis, causal inference, ethnography",30,70,
12/10/25 9:33,12/10/25 9:42,IP Address,*******,100,548,TRUE,12/10/25 9:42,R_9i3QH8S4oT3FC7E,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,,Very much in favor,Yes,100,2021,,,20,50,30,10,5,5,,Very much in favor,Yes,10,2025,,,"It didn’t seem relevant for my work,Other:","Many of my papers before were observational, and I am not sure if we have consensus on preregistration around observational studies.",,,5,20,30,30,10,10,,Very much in favor,Yes,30,2022,,,Other:,"I think open access publishing (say by a journal) and open access publishing (say by yourself in an arXiv) are different and should be treated so. All my papers I put them to arXiv. that ain't mean all of them are ""open access"" by journal standards.",,,40,50,40,10,0,0,,Very much in favor,Yes,0,1950,,,"I didn’t have sufficient resources available,Given the nature of the research, it was impossible,It didn’t seem relevant for my work",,,,5,30,30,20,20,0,4,Man,,A moderate amount,A great deal,Sociology,Quantitative,"Observational Studies, Experimental Designs",65,35,
12/10/25 9:34,12/10/25 9:42,IP Address,*******,100,507,TRUE,12/10/25 9:42,R_3hEnmYZPiv2zuAV,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,,In favor,Yes,15,2024,,,50,30,45,25,0,0,,Neither in favor nor against,No,,,I was unfamiliar with the practice,,,,,,5,0,0,40,60,0,,In favor,No,,,Other:,"Not sure; I think the journal wouldn't allow it, but I am not sure, as my coauthor handles this",,,,,25,10,20,25,25,20,,Very much in favor,Yes,50,2024,,,I didn’t think it was important,,,,40,10,25,30,25,10,4,Woman,,A moderate amount,Not at all,Economics,Quantitative,big data with econometric methods,3,97,
12/10/25 9:36,12/10/25 9:43,IP Address,*******,100,444,TRUE,12/10/25 9:43,R_1GxDyWsAu9dpy3q,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Very much in favor,Yes,80,2025,,,70,70,30,0,0,0,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,"It is too time consuming,I don’t want others to use my plans for their own research,I am nervous that someone would discover a mistake,It doesn’t seem relevant for my work,I am worried it would reduce publishability of my findings",,14,13,33,54,0,0,,Very much in favor,Yes,100,2022,,,,,,,60,71,29,0,0,0,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,"It is too time consuming,I won’t be rewarded for it",,19,29,51,20,0,0,4,Man,,A lot,A moderate amount,economics,Quantitative,"causal inference, administrative data, regression analysis",11,89,
12/10/25 9:35,12/10/25 9:43,IP Address,*******,100,512,TRUE,12/10/25 9:43,R_3DvwTfAPy67HBlS,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,Neither in favor nor against,No,,,The data were too difficult to anonymize (human subjects),,40,10,20,50,10,10,,Neither in favor nor against,No,,,I was unfamiliar with the practice,,,,,,10,0,10,80,10,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,50,5,50,30,10,5,,Very much in favor,Yes,50,2024,,,I won’t be rewarded for it,,,,30,80,10,10,0,0,6,Woman,,A moderate amount,A little,Sociology,Quantitative,Experimental design ,40,60,
12/10/25 9:34,12/10/25 9:43,IP Address,*******,100,553,TRUE,12/10/25 9:43,R_3Q3AxgXCGdt9onM,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,In favor,No,,,"The data were proprietary or access was restricted,It was too time consuming,The data were too difficult to anonymize (human subjects),The data were already available,I didn't know of a suitable repository,It didn't seem relevant for my work",,50,29,50,21,0,0,,Very much in favor,No,,,"It was too time consuming,It was too difficult,I was unfamiliar with the practice,I didn’t know of a suitable registry,It didn’t seem relevant for my work,I won’t be rewarded for it",,,,,,30,65,35,0,0,0,,Neither in favor nor against,No,,,"It didn’t seem relevant for my work,My collaborators were opposed to doing it,I won’t be rewarded for it",,,,,,31,10,20,20,30,20,,Very much in favor,No,,,"It was too time consuming,I didn’t perceive my field to be in favor of this,I was unfamiliar with the practice,I didn’t have sufficient resources available,Given the nature of the research, it was not possible,It didn’t seem relevant for my work,I won’t be rewarded for it",,,,,,20,40,40,20,0,0,25,Man,,A lot,A lot,Economics,Quantitative,simulation modeling and theory,20,80,
12/10/25 9:35,12/10/25 9:44,IP Address,*******,100,531,TRUE,12/10/25 9:44,R_1EdgUBk1fqK3Zpz,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,,Very much in favor,Yes,80,2010,,,70,45,25,15,10,5,,In favor,No,,,"It didn’t seem relevant for my work,I didn’t think it was important",,,,,,40,20,30,25,15,10,,Very much in favor,Yes,95,2016,,,,,,,95,80,10,10,0,0,,Very much in favor,No,,,"I didn’t think it was important,It didn’t seem relevant for my work",,,,,,20,35,35,10,10,10,16,Man,,A lot,A lot,Political Science,Qualitative,semi-structured interviews,25,75,
12/10/25 9:34,12/10/25 9:44,IP Address,*******,100,586,TRUE,12/10/25 9:44,R_7o7N0OK5j9f1LCD,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,,Very much in favor,No,,,"The data were too difficult to anonymize (human subjects),I didn't know of a suitable repository",,30,10,30,40,10,10,,No opinion,No,,,,,,,,,10,0,20,60,20,0,,Very much in favor,I have not published a scholarly work,,,,,,,I am unfamiliar with the practice,,30,5,35,40,15,5,,In favor,No,,,"I didn’t perceive my field to be in favor of this,I won’t be rewarded for it",,,,,,30,0,20,30,40,10,5,Woman,,A lot,A moderate amount,Sociology,Qualitative,Ethnography,50,50,
12/10/25 9:36,12/10/25 9:44,IP Address,*******,100,479,TRUE,12/10/25 9:44,R_51lXbfkeJWIFRhD,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,100,2023,,,95,80,15,3,2,0,,Very much in favor,Yes,80,2023,,,,,,,60,70,10,20,0,0,,Very much in favor,No,,,"I didn’t have sufficient resources available,Journal policy prevented it",,,,,,20,70,10,15,3,2,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,91,85,10,5,0,0,5,Other,Nonbinary,A lot,A great deal,Political Science ,Quantitative,"Survey experiments, Observational data",10,90,
12/10/25 9:35,12/10/25 9:45,IP Address,*******,100,616,TRUE,12/10/25 9:45,R_1TVALkJYGtgpXPP,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,,In favor,Yes,50,2025,,,80,60,30,10,0,0,,In favor,Yes,75,2020,,,"I didn’t want others to use my plans for their own research,I was nervous that someone would discover a mistake,I was worried it would reduce publishability of my findings",,,,30,65,35,0,0,0,,Neither in favor nor against,No,,,"It was too time consuming,I didn’t think it was important,I didn’t have sufficient resources available,Other:",I'm skeptical that many people who are inclined to read/use the work don't have access already. It seems like an expensive solution to a small problem. ,,,,,10,5,5,85,3,2,,Very much in favor,No,,,It didn’t seem relevant for my work,,,,,,15,20,50,20,5,5,12,Man,,A lot,A moderate amount,Political Science,Quantitative,experimental designs (so far. I'm in my second year of the tenure track.),15,85,"I found it difficult to estimate the distribution of opinions in my discipline. I have low confidence in my estimates, and I would not trust those numbers if I were in your shoes. 

Apart from that, good luck with your study!"
12/10/25 9:31,12/10/25 9:45,IP Address,*******,100,835,TRUE,12/10/25 9:45,R_6rcO3clFnVuv3bm,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,100,2018,,,30,19,27,44,5,5,,In favor,No,,,Other:,Pre-analysis was not well-suited— methods paper ,,,,,17,9,21,20,36,14,,Very much in favor,Yes,100,2018,,,,,,,17,56,31,13,0,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,3,20,45,15,10,10,8,Woman,,A moderate amount,A moderate amount,Political Science,Quantitative,Experiment,37,63,
12/10/25 9:33,12/10/25 9:45,IP Address,*******,100,723,TRUE,12/10/25 9:45,R_62nngtub5lSS9tc,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,Neither in favor nor against,Yes,10,2020,,,20,20,30,20,10,20,,Against,No,,,"I was unfamiliar with the practice,I didn’t know of a suitable registry,It didn’t seem relevant for my work",,,,,,10,10,10,10,20,50,,Very much in favor,No,,,Journal policy prevented it,,,,,,50,60,20,10,5,5,,In favor,No,,,"Given the nature of the research, it was not possible",,,,,,10,20,20,20,20,20,7,Other,Transgender non-binary,A moderate amount,Not at all,"Communication Arts & Sciences and Women's, Gender, & Sexuality Studies (dual-title)",Qualitative,"Rhetorical criticism, ethnography, autoethnography, historiography",60,40,
12/10/25 9:37,12/10/25 9:45,IP Address,*******,100,507,TRUE,12/10/25 9:45,R_3QoyD7HIX1QKVHe,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,In favor,Yes,29,2007,,,40,19,81,0,0,0,,In favor,Yes,9,2022,,,Other:,Not relevant for theory,,,51,65,35,0,0,0,,Very much in favor,Yes,19,2003,,,I didn’t have sufficient resources available,,,,29,81,0,19,0,0,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"Given the nature of the research, it won’t be possible",,12,50,30,0,20,0,45,Man,,A lot,A lot,Ecology,Quantitative,"mathematical theory, experiments, field studies",71,29,
12/10/25 9:38,12/10/25 9:46,IP Address,*******,100,438,TRUE,12/10/25 9:46,R_8kAHzbgPhLCkHeJ,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,,In favor,I do not have a scholarly work that used data,,,,,68,19,81,0,0,0,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,,,27,65,35,0,0,0,,Very much in favor,I have not published a scholarly work,,,,,,,"I am unfamiliar with the practice,I don’t have sufficient resources available",,35,30,27,10,16,17,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,,,77,40,30,10,20,0,3,Woman,,A moderate amount,A lot,Economics,Quantitative,Econometry,15,85,
